Metric,Test Set,Unseen Test Set
Character Error Rate (CER),0.3594307065421666,0.30842302471012584
Word Accuracy,0.4945983379501385,0.5346024191949237
Character Accuracy,0.6559416885910386,0.700324509253773
Average Edit Distance,1.384349030470914,1.2195121951219512
Sample Count,7220.0,10086.0
